,gradient,energy_cost
45,-0.3504724794970435,3.258446153425719
19,0.0035478798512112,1.6151296543191598
18,0.4524977544958944,17.383337476299843
25,-0.1975623951508678,1.4627639785326036
26,-0.1036219787173021,1.269242902172486
50,0.0004638571350997,0.4557660675090642
0,0.4521146487058813,14.831669742496596
7,-0.1996740901254567,1.0827116262043406
2,0.4571705424961634,16.24097720662364
9,0.0947166587108386,4.979744459415968
51,0.200577426595393,7.4833379795553086
58,-0.3992683929448903,2.067310221913469
20,0.3416167724939734,12.742806421866318
16,0.4045649750831402,14.498283842003898
37,-0.4472579195109845,4.160289241958346
10,-0.2905975593525057,1.9856710875375776
61,0.2934287710281602,10.039817277010798
27,-0.4592294334114135,3.1052920128356383
13,-0.3020840748103409,2.4829094679694776
47,0.3470668169200844,12.014593190837044
43,0.3022195859379792,12.408900534709735
49,-0.3476018383401376,1.9242691222569035
11,-0.4049953407658705,3.226802164965896
6,0.3496117489711552,12.841084315713015
44,-0.3959251004165381,2.3960376526839693
55,0.0965764640270729,4.570330644894722
39,0.3080446741495894,11.6491170170794
22,0.3923858998936883,14.920385597887496
62,-0.102963420348023,0.613975599842803
36,-0.0927946356096017,0.8022564598515189
53,-0.2957420431260364,2.3051587548929584
64,0.4585772011616626,15.920662118903332
57,-0.401252443836316,3.244203567267109
38,-0.3434173358366043,2.316824090722963
17,0.353293379687187,13.3179417042548
48,0.2924684395461412,10.779124363984645
24,0.2114681246353266,8.405226863190356
34,0.2037640640319007,8.615410215764907
12,0.096199747493469,5.650741627675859
52,-0.2039669703027578,1.1305337352014828
46,-0.3557342712761627,2.3372825426898056
23,0.4037239366012104,15.09476536405642
8,-0.0023627724505993,2.093684740714396
14,0.190871197276172,8.237896191449098
1,-0.0021661792874576,0.6543120013967952
15,0.0940673117903028,4.434088994672331
56,0.4053717813890042,14.536156770193848
4,-0.2002920067562832,0.8010247125217966
35,-0.3517882058551887,2.3529166946237874
21,-0.4490544291101853,4.296475768133551
31,0.4426411545412385,17.357377707655957
32,-0.1046280860561153,1.0433345864480628
60,-0.391055874421494,3.497927337737021
3,-0.3008183971111713,2.331961612192156
30,0.101880418344347,4.306633044240932
